participant_id,trial_type,trial_index,age,gender,language,amE,comments,expression,choice,nResponse,cc
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,6,51,female,English,AmE,""":""Thanks!""}",fnrrc,"No,",1,cheated on his wife
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,7,51,female,English,AmE,""":""Thanks!""}",know,"No,",1,ate the last cupcake
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,8,51,female,English,AmE,""":""Thanks!""}",be right,"No,",1,bought a new car
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,9,51,female,English,AmE,""":""Thanks!""}",mnrrc,"Yes, but",0,broke the plate
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,11,51,female,English,AmE,""":""Thanks!""}",discover,"No,",1,lost his key
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,4,54,male,English,AmE,""":""""}",mnrrc,"No,",1,cheated on his wife
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,6,54,male,English,AmE,""":""""}",confess,"No,",1,lost his key
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,7,54,male,English,AmE,""":""""}",fnrrc,"No,",1,bought a new car
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,8,54,male,English,AmE,""":""""}",know,"Yes, but",0,ate the last cupcake
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,9,54,male,English,AmE,""":""""}",confirm,"No,",1,saw the murder
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,10,54,male,English,AmE,""":""""}",discover,"No,",1,stole the money
152b7117-e731-4efa-913d-0ee71b261da5,survey-multi-choice,11,54,male,English,AmE,""":""""}",be right,"No,",1,broke the plate
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,5,28,non-binary,English,AmE,""":""""}",confirm,"No,",1,bought a new car
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,6,28,non-binary,English,AmE,""":""""}",mnrrc,"No,",1,saw the murder
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,7,28,non-binary,English,AmE,""":""""}",fnrrc,"No,",1,ate the last cupcake
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,8,28,non-binary,English,AmE,""":""""}",be right,"No,",1,cheated on his wife
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,9,28,non-binary,English,AmE,""":""""}",discover,"No,",1,broke the plate
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,10,28,non-binary,English,AmE,""":""""}",confess,"No,",1,lost his key
b09dcf80-3b7c-46f7-a1f9-9c2bd6078b4e,survey-multi-choice,11,28,non-binary,English,AmE,""":""""}",know,"No,",1,stole the money
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,3,56,female,English,AmE,""":""""}",be right,"No,",1,ate the last cupcake
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,4,56,female,English,AmE,""":""""}",know,"Yes, but",0,lost his key
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,5,56,female,English,AmE,""":""""}",confirm,"Yes, but",0,saw the murder
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,6,56,female,English,AmE,""":""""}",fnrrc,"No,",1,cheated on his wife
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,8,56,female,English,AmE,""":""""}",discover,"No,",1,broke the plate
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,9,56,female,English,AmE,""":""""}",confess,"No,",1,bought a new car
4bdcdeab-f3d9-465d-814d-20106950b657,survey-multi-choice,11,56,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,stole the money
bba5d0d2-43d3-43c8-9bab-2a81a8d08a62,survey-multi-choice,3,43,female,English,AmE,""":""""}",know,"No,",1,broke the plate
bba5d0d2-43d3-43c8-9bab-2a81a8d08a62,survey-multi-choice,4,43,female,English,AmE,""":""""}",confirm,"No,",1,bought a new car
